Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
MALUKU,-0.33,-0.95,0.75,0.84,1.65,2.64,2.91,2.81,2.51,2.46,2.75,3.58,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
MALUKU UTARA,-1.64,-1.75,0.85,2.19,1.46,1.74,2.13,0.19,0.16,0.44,1.58,1.63,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT,-2.29,-3.67,-1.45,-0.92,-1.24,-0.67,0.57,-0.44,0.53,0.33,0.98,2.59,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,-1.36,-2.3,-1.21,-0.32,-0.28,0.13,0.84,1.72,1.6,1.52,1.5,2.15,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA,-1.13,-1.64,-0.53,0.16,0.45,0.55,0.21,-0.72,-0.68,-0.92,0.76,2.54,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA SELATAN,-0.75,-0.81,1.37,2.59,3.24,2.9,4.38,2.99,1.88,1.9,2.12,2.95,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA TENGAH,-1.78,-1.88,0.67,1.89,1.9,1.79,2.47,1.2,1.17,1.5,2.3,3.28,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,0.23,3.01,3.09,2.16,3.09,1.55,3.22,2.76,1.99,1.06,1.62,3.22,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
INDONESIA,-0.76,-1.24,0.39,1.56,1.19,1.38,1.69,1.6,1.82,2.1,2.27,2.92,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
ACEH,0.42,1.13,1.62,1.67,1.82,1.85,1.73,1.84,1.31,1.22,1.59,2.17,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA UTARA,0.4,0.81,1.53,1.49,1.98,1.65,0.81,0.67,0.46,0.59,1.13,2.12,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA BARAT,-0.32,0.85,1.49,1.19,1.71,1.85,0.76,0.59,0.15,0.26,0.54,0.89,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
RIAU,0.11,0.7,1.43,1.48,1.78,1.55,0.74,0.46,0.13,0.19,0.62,1.25,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAMBI,0.83,0.96,1.5,1.68,1.88,1.74,0.9,0.89,0.72,0.75,0.96,1.43,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA SELATAN,-0.08,-0.07,0.18,0.61,0.67,0.64,0.35,0.16,0.04,0.12,0.7,1.2,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BENGKULU,0.15,0.94,1.16,1.29,1.6,1.56,0.85,0.67,0.38,0.3,0.49,0.84,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
LAMPUNG,-0.19,0.21,0.56,0.55,0.64,0.52,0.37,0.43,0.48,0.67,1.1,1.57,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. BANGKA BELITUNG,0.13,0.51,0.55,1.09,0.77,0.46,0.07,0.3,0.28,0.1,0.11,0.75,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. RIAU,0.51,0.29,0.75,0.81,1.18,1.46,1.01,0.97,1.11,1.17,1.41,2.09,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DKI JAKARTA,-0.19,0.26,0.63,0.89,0.79,0.91,0.85,0.89,0.79,0.82,1.1,1.48,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA BARAT,0.15,0.61,1.12,1.27,1.15,1.11,1.16,1.23,1.02,1.04,1.29,1.64,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA TENGAH,-0.08,0.49,1.09,1.29,1.07,0.79,0.66,0.59,0.64,0.83,1.09,1.67,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DI YOGYAKARTA,-0.02,0.37,0.8,0.89,0.81,0.56,0.53,0.58,0.48,0.57,0.82,1.28,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA TIMUR,-0.1,0.39,1.03,1.39,1.18,0.81,0.84,0.78,0.65,0.81,1.04,1.51,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BANTEN,-0.04,0.48,1.46,1.87,1.35,1.27,1.03,1.04,0.78,0.93,1.38,1.88,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BALI,-0.09,0.52,1.46,1.78,1.68,1.12,1.22,1.33,1.46,1.53,2.03,2.34,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,0.04,0.12,0.99,1.05,0.63,0.37,0.02,0.08,0.17,0.26,0.81,1.28,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
NUSA TENGGARA TIMUR,0.97,0.81,0.67,0.98,0.74,0.51,0.19,-0.06,-0.09,0.17,0.36,1.19,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN BARAT,0.37,0.45,0.78,1.48,1.64,1.34,0.89,0.64,0.93,0.97,1.25,1.71,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN TENGAH,0.2,-0.27,0.39,1.12,1.34,1.05,0.37,-0.02,0.05,0.19,0.55,1.03,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN SELATAN,0.55,0.54,1.17,1.89,1.88,1.56,1.11,0.75,0.82,0.98,1.48,1.95,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN TIMUR,0.25,0.51,0.85,1.56,1.75,1.7,1.31,1.19,1.24,1.08,1.16,1.47,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KALIMANTAN UTARA,0.05,0.24,0.66,1.05,1.17,1.09,1.08,0.89,0.8,0.98,0.85,1.29,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI UTARA,-0.41,-1.04,0.02,0.19,0.11,0.58,0.47,0.43,-0.11,0.09,0.51,0.44,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI TENGAH,0.08,0.53,1.08,1.12,1.2,1.38,1.15,0.9,0.96,0.97,0.96,1.29,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI SELATAN,0.36,0.67,1.05,1.2,1.1,0.83,0.65,0.61,0.52,0.68,0.85,1.23,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI TENGGARA,-0.03,0.16,0.79,1.26,1.37,1.27,1.11,0.83,0.64,0.46,0.76,1.05,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
GORONTALO,-0.91,-2.05,-1.26,-0.7,-0.4,-0.54,-1.48,-1.62,-1.24,-1.81,-1.35,-0.79,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SULAWESI BARAT,0.08,0.15,0.58,0.3,0.24,1.05,0.59,0.46,0.79,1.0,0.83,1.49,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
MALUKU,0.19,-1.0,-1.46,-1.17,0.69,2.03,1.19,0.85,0.79,1.44,1.69,1.28,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
MALUKU UTARA,-0.02,-0.44,0.04,0.48,1.07,1.23,1.17,1.26,1.83,0.76,1.19,1.5,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT,0.63,0.76,1.26,1.43,2.8,2.53,2.66,2.97,2.02,1.42,2.18,2.53,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,0.13,0.02,0.39,1.12,1.21,1.5,1.75,1.7,2.18,2.02,1.98,1.87,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA,0.01,-0.72,-0.91,0.27,0.88,1.23,0.56,0.48,0.07,0.29,1.7,1.75,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA SELATAN,0.57,0.65,0.48,0.81,2.83,1.69,0.75,1.01,0.26,0.27,0.54,1.78,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA TENGAH,0.43,-0.75,0.25,1.46,2.9,2.73,2.85,2.6,2.16,2.65,3.03,3.27,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,1.01,0.51,0.53,1.59,2.71,4.88,4.42,4.4,3.78,3.05,2.9,5.36,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
INDONESIA,0.04,0.41,0.93,1.19,1.16,1.07,0.89,0.87,0.74,0.82,1.12,1.57,-,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
ACEH,2.12,2.33,3.25,3.14,3.32,3.09,2.51,2.29,1.5,1.69,1.55,2.17,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SUMATERA UTARA,2.16,2.5,3.67,3.96,4.26,3.35,2.06,1.86,1.4,1.59,1.49,2.12,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SUMATERA BARAT,2.57,3.32,3.93,3.81,4.17,4.04,2.44,2.22,1.52,1.65,0.8,0.89,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
RIAU,2.35,2.86,3.57,3.99,4.41,3.56,2.22,1.99,1.38,1.51,0.87,1.25,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAMBI,2.99,3.19,3.84,3.93,3.55,3.34,2.14,2.5,1.95,1.84,1.42,1.43,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SUMATERA SELATAN,3.35,3.15,3.24,3.12,2.98,2.48,1.87,1.8,1.4,1.09,0.73,1.2,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BENGKULU,2.83,3.68,3.56,3.62,3.71,3.64,2.31,2.34,1.48,1.34,0.82,0.84,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
LAMPUNG,3.28,3.28,3.45,3.29,3.09,2.84,2.55,2.33,2.16,1.94,1.5,1.57,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KEPULAUAN BANGKA BELITUNG,1.21,1.86,1.8,1.93,1.25,1.08,0.84,1.02,0.49,0.22,0.22,0.75,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KEPULAUAN RIAU,3.38,2.65,3.37,3.04,3.67,3.54,2.81,2.64,2.53,2.31,1.89,2.09,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
DKI JAKARTA,1.83,2.12,2.18,2.11,2.08,2.23,1.97,1.98,1.7,1.58,1.58,1.48,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAWA BARAT,3.02,3.09,3.48,3.07,2.78,2.38,2.25,2.39,2.09,1.92,1.67,1.64,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAWA TENGAH,2.69,2.98,3.4,3.27,2.66,2.22,1.86,1.77,1.57,1.6,1.33,1.67,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
DI YOGYAKARTA,2.6,2.75,2.95,2.87,2.28,2.35,2.16,2.33,1.85,1.57,1.14,1.28,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAWA TIMUR,2.47,2.81,3.04,3.25,2.83,2.21,2.13,2.05,1.73,1.66,1.41,1.51,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BANTEN,2.59,2.81,3.42,3.42,2.86,2.49,2.3,2.45,2.03,1.94,1.9,1.88,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BALI,2.61,2.98,3.67,4.02,3.54,2.71,2.53,2.32,2.67,2.51,2.5,2.34,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,2.87,3.0,3.63,3.31,2.77,2.12,1.91,2.01,1.77,1.44,1.46,1.28,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
NUSA TENGGARA TIMUR,2.7,3.01,1.92,2.35,2.41,1.54,0.85,1.22,1.07,1.13,0.83,1.19,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN BARAT,2.75,2.56,2.51,2.72,2.84,2.28,1.58,1.47,1.79,1.58,1.61,1.71,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN TENGAH,3.4,2.46,2.72,2.99,2.72,2.22,1.28,1.29,1.45,1.03,1.02,1.03,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN SELATAN,2.79,2.27,2.58,3.0,2.63,2.34,1.85,1.71,1.98,1.81,2.01,1.95,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN TIMUR,2.95,3.28,3.03,3.21,3.29,2.99,2.18,2.13,2.16,1.75,1.54,1.47,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN UTARA,1.99,2.33,2.62,2.47,2.42,2.39,1.98,1.59,1.74,2.2,1.68,1.29,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI UTARA,3.81,3.55,3.82,4.24,4.15,4.42,4.03,4.29,3.66,2.58,2.12,0.44,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI TENGAH,2.97,3.37,3.38,3.4,3.1,2.82,2.45,2.14,2.15,1.91,1.71,1.29,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI SELATAN,2.38,2.93,2.75,2.61,2.42,2.03,1.74,1.77,1.67,1.53,1.52,1.23,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI TENGGARA,2.46,2.9,2.93,2.93,2.57,2.35,1.73,1.62,1.06,0.71,1.05,1.05,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
GORONTALO,4.4,3.73,4.13,4.65,4.91,3.93,3.07,2.65,2.78,0.81,0.27,-0.79,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI BARAT,2.25,2.22,2.76,2.02,1.25,2.32,2.08,1.59,2.05,1.63,1.18,1.49,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
MALUKU,4.12,3.02,2.75,2.43,3.21,3.63,2.71,2.58,1.79,2.13,2.23,1.28,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
MALUKU UTARA,4.33,2.71,3.57,2.93,3.27,3.21,2.96,2.89,3.56,2.2,2.78,1.5,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA BARAT,3.05,3.61,4.78,3.59,4.56,3.73,2.83,2.8,2.91,2.05,2.84,2.53,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,1.49,1.81,1.42,2.45,1.87,1.28,1.77,1.66,2.59,2.0,2.33,1.87,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA,1.52,2.02,1.98,1.78,2.18,1.47,0.91,1.03,0.82,1.1,2.46,1.75,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA SELATAN,4.51,4.61,3.7,3.04,4.19,2.04,1.2,1.8,1.6,1.28,1.23,1.78,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA TENGAH,4.76,3.72,4.1,4.37,5.39,4.39,4.16,3.74,3.83,4.19,4.35,3.27,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,3.93,2.87,2.37,2.71,3.57,5.65,5.09,5.05,4.14,2.85,3.58,5.36,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
INDONESIA,2.57,2.75,3.05,3.0,2.84,2.51,2.13,2.12,1.84,1.71,1.55,1.57,-,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
ACEH,-0.13,-0.48,1.6,1.61,-0.59,-0.13,0.68,0.78,0.2,0.12,-0.67,3.6,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
SUMATERA UTARA,0.07,-0.63,0.68,1.35,-0.49,-0.19,0.76,1.37,0.65,-0.2,-0.42,1.66,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
SUMATERA BARAT,0.03,-0.16,1.03,1.77,-0.98,-0.26,0.64,0.52,0.85,0.4,-0.24,1.48,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
RIAU,-0.02,-0.5,1.39,1.43,-0.78,-0.22,0.62,0.85,1.11,-0.06,-0.22,1.21,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
JAMBI,-0.13,-0.6,1.13,1.7,-0.68,0.24,0.52,0.05,0.81,-0.03,0.05,0.62,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
SUMATERA SELATAN,-0.36,-0.41,1.53,1.39,-0.35,0.08,0.14,-0.04,0.27,0.13,0.02,0.49,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
BENGKULU,-0.59,-0.57,1.28,1.31,-0.26,-0.53,0.4,0.1,0.97,0.18,0.04,0.43,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
LAMPUNG,-0.71,-0.66,1.96,1.19,-0.58,0.04,0.19,-1.47,0.16,0.23,0.36,0.59,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
KEPULAUAN BANGKA BELITUNG,-0.85,-0.03,1.83,0.77,-0.89,-0.1,0.65,-0.46,0.46,0.49,0.36,0.55,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
KEPULAUAN RIAU,0.43,-0.14,0.38,0.59,-0.44,-0.12,0.19,0.18,0.64,0.36,0.23,1.14,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
DKI JAKARTA,-1.5,-0.29,2.0,1.44,-0.24,0.13,0.11,-0.05,0.13,0.31,0.27,0.33,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
JAWA BARAT,-0.68,-0.61,1.6,1.01,-0.32,0.27,0.3,-0.19,0.21,0.45,0.16,0.43,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
JAWA TENGAH,-0.46,-0.78,1.43,1.38,-0.49,0.24,0.18,-0.1,0.21,0.4,0.19,0.5,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
DI YOGYAKARTA,-0.35,-0.86,1.25,1.67,-0.15,0.23,0.05,-0.24,0.15,0.42,0.27,0.65,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
JAWA TIMUR,-0.54,-0.59,1.44,0.93,-0.34,0.43,0.22,-0.1,0.23,0.3,0.17,0.76,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
BANTEN,-1.05,-0.66,2.02,1.29,-0.54,0.19,0.21,-0.32,0.1,0.57,0.27,0.67,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
BALI,-0.02,-0.57,1.61,0.73,-0.47,0.44,0.32,-0.39,-0.01,0.16,0.4,0.7,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,-0.55,-0.6,2.04,0.69,-0.58,0.6,0.17,-0.41,0.22,0.35,0.34,0.72,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
NUSA TENGGARA TIMUR,-0.27,0.37,1.24,0.22,-0.4,-0.11,0.96,-0.55,-0.43,-0.04,0.58,0.81,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
KALIMANTAN BARAT,-1.17,-0.04,1.23,0.95,-0.45,0.32,0.47,-0.26,0.11,0.17,0.24,0.28,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
KALIMANTAN TENGAH,-0.54,-0.46,1.71,0.61,-0.53,0.32,0.38,-0.44,0.33,0.52,0.19,1.04,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
KALIMANTAN SELATAN,-0.76,-0.39,1.59,1.08,-0.32,0.23,0.21,-0.16,0.29,0.36,0.73,0.76,-,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100)
