Komoditas,no,name,level,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Provinsi
Bawang Merah,II,Papua,1,"53,650","54,950","51,350","58,050","62,950","60,400","54,100","46,550","43,700","43,850","50,400","58,250","57,850","56,300","58,450","67,700","61,700","61,650","67,350","72,400","70,800","61,450","61,700","70,000","73,700","67,050","67,300","70,750",Papua
Bawang Putih,II,Papua,1,"49,450","51,800","50,700","52,700","55,400","54,450","52,150","50,000","49,750","48,750","49,700","55,400","53,900","55,550","58,400","61,650","59,750","57,400","57,400","55,800","56,200","54,200","53,200","54,950","57,900","56,600","57,550","56,500",Papua
Cabai Merah,II,Papua,1,"69,650","61,400","68,950","77,950","79,550","103,250","94,800","95,550","71,900","55,250","55,600","55,850","63,650","91,900","87,150","83,550","89,000","81,950","91,750","95,500","76,300","73,500","80,800","81,500","70,400","76,500","83,900","67,350",Papua
Cabai Rawit,II,Papua,1,"78,700","45,800","35,950","49,150","72,400","77,100","77,250","87,900","67,050","51,350","51,200","54,550","58,800","59,450","74,650","75,000","80,100","71,950","89,800","83,050","76,550","74,250","73,500","81,700","69,400","71,050","86,750","79,200",Papua
Minyak Goreng,II,Papua,1,"21,350","21,200","21,350","21,450","21,350","21,350","21,000","21,100","21,300","21,350","21,450","21,550","21,700","21,700","22,650","23,850","24,150","24,450","24,600","24,900","24,950","25,000","25,000","25,050","25,050","25,000","25,000","25,050",Papua
Gula Pasir,II,Papua,1,"19,300","19,650","20,000","20,300","20,350","20,400","20,450","20,450","20,850","21,250","21,200","21,500","21,500","21,650","22,750","24,400","24,550","24,500","24,400","24,400","24,400","24,250","24,050","24,050","24,100","24,100","24,150","24,250",Papua
Beras,II,Jawa Barat,1,"14,250","15,500","15,750","15,250","14,600","14,500","14,600","14,600","14,600","14,550","14,550","14,600","14,650","14,550","14,600","14,600","14,600","14,700","14,800","14,850","14,900","14,900","14,800","14,800","14,850","14,900","15,050","15,150",Jawa
Daging Ayam,II,Jawa Barat,1,"34,550","36,300","39,400","38,900","37,600","36,650","36,500","34,700","34,250","36,300","36,500","36,500","36,550","35,700","36,350","34,300","33,550","34,750","34,500","34,300","38,950","38,250","37,700","40,450","37,050","40,300","41,650","37,850",Jawa
Daging Sapi,II,Jawa Barat,1,"139,450","139,150","140,900","142,800","141,100","140,950","140,900","140,800","140,350","140,000","140,000","139,950","140,100","139,600","144,100","143,250","139,850","139,950","138,950","138,750","138,750","138,650","138,600","138,950","140,000","143,200","149,200","151,250",Jawa
Telur Ayam,II,Jawa Barat,1,"26,750","28,700","31,550","28,650","29,900","28,450","27,950","27,100","26,400","26,700","26,400","29,650","28,450","28,600","28,850","27,300","27,550","28,050","29,100","28,150","28,550","30,550","29,700","30,700","29,300","30,550","30,950","29,300",Jawa
Bawang Merah,II,Jawa Barat,1,"35,550","31,900","33,750","54,500","51,950","42,150","31,400","26,700","27,000","29,750","39,850","41,500","37,700","35,050","52,050","54,900","42,900","45,700","51,400","50,700","39,650","41,350","43,650","46,150","39,400","46,200","45,400","43,400",Jawa
Bawang Putih,II,Jawa Barat,1,"40,400","39,800","41,850","44,500","44,750","43,750","42,100","41,800","41,750","42,450","43,350","44,000","43,700","44,200","47,100","48,750","45,400","43,300","41,200","40,650","39,650","38,900","38,600","39,100","39,450","40,100","39,700","39,050",Jawa
Cabai Merah,II,Jawa Barat,1,"73,450","87,550","71,500","53,950","52,500","55,800","45,000","43,550","33,800","30,650","31,100","45,250","67,200","56,650","60,700","55,950","42,600","49,850","45,400","43,350","56,250","60,450","64,250","55,800","38,550","45,100","49,450","43,800",Jawa
Cabai Rawit,II,Jawa Barat,1,"52,050","54,300","55,300","45,050","42,150","45,650","60,650","58,650","40,850","42,200","35,800","46,850","83,800","72,850","83,500","68,150","39,550","52,600","57,200","42,450","41,500","37,150","40,900","72,950","58,000","73,950","76,350","63,200",Jawa
Minyak Goreng,II,Jawa Barat,1,"17,950","18,300","18,400","18,600","18,500","18,500","18,550","18,650","18,750","18,900","19,650","20,450","20,900","20,900","20,950","20,900","20,700","20,500","20,500","20,600","20,800","20,800","20,800","20,800","20,800","21,200","22,250","22,900",Jawa
Gula Pasir,II,Jawa Barat,1,"17,450","17,500","17,700","18,100","18,700","18,550","18,300","18,250","18,250","18,350","18,350","18,400","18,600","18,750","18,750","18,750","18,750","18,650","18,600","18,450","18,400","18,350","18,400","18,350","18,400","18,500","18,750","19,100",Jawa
Beras,II,DI Yogyakarta,1,"14,050","15,200","15,300","15,150","14,900","14,250","14,250","14,250","14,250","14,250","14,200","14,150","14,150","14,150","14,300","14,300","14,300","14,300","14,450","14,450","14,250","14,200","14,200","14,200","14,200","14,200","14,200","14,200",DI
Daging Ayam,II,DI Yogyakarta,1,"34,250","35,200","39,050","39,000","38,100","36,300","35,450","33,700","33,850","34,650","36,100","35,350","35,600","34,250","35,050","32,100","31,300","31,000","31,850","32,250","37,050","36,400","35,450","38,750","35,800","39,200","41,100","36,950",DI
Daging Sapi,II,DI Yogyakarta,1,"136,250","136,250","136,250","136,250","136,250","136,250","135,500","136,250","136,250","136,250","136,250","136,250","136,250","135,500","136,150","136,250","136,250","136,250","136,250","136,250","136,250","136,250","138,750","141,250","141,250","141,250","147,650","150,650",DI
Telur Ayam,II,DI Yogyakarta,1,"26,500","28,000","30,850","27,550","29,500","28,000","27,250","26,200","25,750","25,950","26,200","29,250","27,600","27,650","27,900","26,550","27,100","27,550","28,400","27,700","28,100","29,850","28,800","30,200","28,850","30,500","29,900","28,650",DI
Bawang Merah,II,DI Yogyakarta,1,"37,100","32,950","34,450","45,900","47,650","43,200","30,550","24,750","24,500","25,350","36,850","39,300","39,600","35,200","44,400","48,800","38,100","41,000","43,500","47,000","40,450","40,700","42,000","47,450","42,950","43,650","44,500","43,450",DI
Bawang Putih,II,DI Yogyakarta,1,"43,750","44,000","44,700","46,700","48,250","47,950","45,950","41,850","41,250","42,150","42,700","44,500","44,500","44,500","45,050","45,750","44,700","44,150","41,600","40,100","39,500","39,500","39,500","39,500","40,650","42,400","42,150","41,900",DI
Cabai Merah,II,DI Yogyakarta,1,"67,250","77,950","63,900","43,350","48,850","48,500","39,750","38,100","27,650","23,100","24,500","43,450","67,450","55,450","54,700","52,200","35,100","37,750","35,750","34,700","43,650","51,150","56,500","59,450","38,250","42,450","46,050","42,850",DI
Cabai Rawit,II,DI Yogyakarta,1,"45,350","50,100","47,050","38,100","35,450","40,200","51,950","47,550","32,800","33,550","29,550","43,500","72,200","68,650","77,300","68,150","32,800","42,100","46,650","33,400","32,800","29,950","33,850","66,050","53,650","72,550","78,350","62,700",DI
Minyak Goreng,II,DI Yogyakarta,1,"17,000","17,450","17,650","17,800","17,600","17,400","17,700","17,850","17,850","17,850","18,950","19,750","20,100","20,400","20,400","20,400","20,550","20,200","20,100","20,250","20,300","20,300","20,250","20,250","20,250","20,650","21,550","22,000",DI
Gula Pasir,II,DI Yogyakarta,1,"16,900","17,050","17,200","17,300","17,450","17,350","17,350","17,350","17,350","17,350","17,350","17,400","17,750","18,300","18,350","18,350","18,200","17,950","17,750","17,550","17,500","17,500","17,500","17,650","17,950","18,200","18,250","18,550",DI
Beras,II,Bali,1,"14,550","16,200","16,050","15,400","14,950","15,000","15,150","15,200","15,200","15,200","15,000","15,000","15,100","15,200","15,350","15,350","15,400","15,500","15,600","15,600","15,500","15,500","15,400","15,400","15,400","15,400","15,400","15,500",Bali
Daging Ayam,II,Bali,1,"36,150","37,900","39,550","41,650","39,900","38,650","38,550","36,900","37,300","37,950","41,600","39,400","40,550","41,200","39,000","37,200","38,900","38,300","38,850","38,850","42,500","42,450","41,550","41,900","41,650","44,200","43,900","41,500",Bali
Daging Sapi,II,Bali,1,"126,150","126,600","127,350","127,700","126,850","126,300","126,300","126,300","126,200","127,200","128,100","132,550","132,850","132,850","132,850","132,450","132,250","132,300","132,200","132,200","133,450","134,650","134,850","134,850","134,850","134,400","134,700","134,250",Bali
Telur Ayam,II,Bali,1,"26,450","27,200","30,150","29,200","28,800","28,900","28,700","28,500","27,850","27,400","27,000","27,800","28,850","28,400","28,100","27,750","27,750","27,850","28,250","28,750","30,100","30,300","30,500","30,550","30,600","30,500","30,600","30,700",Bali
Bawang Merah,II,Bali,1,"34,450","27,350","28,000","38,550","44,050","31,250","25,400","22,050","24,050","24,400","33,450","36,100","35,900","28,450","35,950","45,250","33,950","33,850","40,200","45,050","34,300","35,100","39,500","50,600","38,400","36,800","39,750","42,050",Bali
Bawang Putih,II,Bali,1,"34,600","34,100","36,700","37,450","37,450","36,300","35,300","35,250","35,450","35,900","37,450","38,200","38,400","39,300","39,750","40,400","36,500","32,250","32,050","31,950","32,950","33,200","33,100","33,700","35,600","34,850","33,900","33,850",Bali
Cabai Merah,II,Bali,1,"58,200","72,250","55,500","42,050","47,550","45,700","34,100","31,250","20,950","18,450","18,550","33,100","62,950","55,700","54,200","44,050","30,150","30,100","33,300","33,100","40,150","50,250","52,500","43,900","28,800","38,350","44,800","40,900",Bali
Cabai Rawit,II,Bali,1,"39,650","41,800","44,250","38,450","32,750","35,800","53,500","51,750","39,400","37,050","28,200","38,000","68,050","65,450","76,950","61,800","31,350","44,650","48,350","35,550","36,150","34,200","34,900","62,350","49,550","69,550","76,300","62,100",Bali
Minyak Goreng,II,Bali,1,"18,250","18,400","18,550","18,750","18,800","18,950","19,000","19,000","19,050","19,350","19,900","20,350","20,550","20,750","21,100","21,150","21,250","21,150","21,150","21,150","20,950","20,950","21,000","21,000","21,000","21,050","21,450","22,700",Bali
Gula Pasir,II,Bali,1,"17,700","18,000","18,050","18,100","18,500","18,500","18,600","18,500","18,500","18,550","18,700","18,650","18,700","18,750","18,850","18,850","18,900","18,850","18,850","18,800","18,250","18,050","18,050","18,050","18,100","18,200","18,350","19,050",Bali
Beras,II,Aceh,1,"13,800","13,850","13,800","13,800","13,850","13,750","13,900","13,900","13,850","13,750","13,650","13,700","13,750","13,750","13,750","13,800","13,950","14,200","14,900","15,500","14,950","14,700","14,500","14,850","15,150","15,300","15,200","15,150",Aceh
Daging Ayam,II,Aceh,1,"30,150","32,550","37,100","33,850","36,600","32,650","27,050","27,500","29,650","33,000","32,550","33,750","35,150","31,600","33,750","33,000","31,000","30,700","30,750","34,000","36,450","37,200","36,800","40,900","43,150","42,000","42,200","39,600",Aceh
Daging Sapi,II,Aceh,1,"145,850","145,750","150,100","146,800","147,500","146,800","146,650","146,950","146,650","146,800","146,950","146,650","144,700","149,150","150,000","146,650","146,650","149,300","146,650","146,400","146,300","146,650","146,650","146,650","146,900","149,700","150,450","153,800",Aceh
Telur Ayam,II,Aceh,1,"27,750","28,200","31,100","29,550","30,500","30,200","29,500","29,100","29,100","28,350","28,200","30,550","31,250","28,550","27,950","27,900","27,900","28,150","29,100","29,650","29,900","30,600","31,900","37,700","30,900","29,200","30,700","31,300",Aceh
Bawang Merah,II,Aceh,1,"40,950","36,850","38,300","51,500","59,050","51,800","36,050","26,700","28,050","31,900","37,400","38,650","44,400","36,350","40,200","44,950","42,100","39,300","45,050","57,700","43,500","36,200","36,100","50,900","43,250","37,550","37,600","39,500",Aceh
Bawang Putih,II,Aceh,1,"38,300","38,100","38,900","41,200","41,750","40,450","39,100","39,450","39,700","40,050","42,000","42,550","43,350","43,550","44,500","44,650","42,550","38,000","38,500","38,400","37,300","36,400","35,700","39,250","37,550","36,350","35,950","35,350",Aceh
Cabai Merah,II,Aceh,1,"34,200","54,750","61,850","45,950","57,400","60,950","43,900","44,900","32,550","28,700","26,500","31,250","51,800","49,450","43,850","57,700","39,750","29,900","28,900","38,750","72,900","78,750","61,750","51,200","29,700","37,000","34,400","26,950",Aceh
Cabai Rawit,II,Aceh,1,"48,000","50,750","55,900","48,650","47,900","48,950","45,700","53,600","59,450","43,100","38,450","41,450","52,750","60,100","47,150","43,800","36,900","35,700","34,050","50,750","56,300","44,050","42,650","68,250","67,600","48,750","43,100","33,050",Aceh
Minyak Goreng,II,Aceh,1,"18,450","19,050","19,250","19,250","19,200","19,050","19,100","19,150","19,350","20,000","20,700","21,000","21,000","20,900","21,200","21,200","21,150","21,000","20,950","21,000","21,050","21,100","21,100","22,000","21,950","21,900","22,050","22,700",Aceh
Gula Pasir,II,Aceh,1,"18,050","18,200","18,300","18,850","19,350","18,850","18,700","18,800","18,750","18,850","18,800","18,750","19,450","19,150","19,300","19,300","19,300","19,300","19,200","19,100","18,950","18,900","18,900","19,150","19,100","19,200","19,350","19,750",Aceh
Beras,II,Kalimantan Tengah,1,"18,800","19,100","19,550","19,600","19,250","19,100","19,000","19,050","18,650","18,200","18,100","18,100","17,600","17,450","17,500","17,600","17,500","17,500","17,500","17,450","17,450","17,550","17,600","17,750","17,850","17,850","18,250","18,900",Kalimantan
Daging Ayam,II,Kalimantan Tengah,1,"45,050","38,400","38,400","42,500","45,050","41,500","36,200","34,750","34,250","37,450","38,550","39,200","42,000","37,750","37,200","35,100","36,050","34,300","36,450","35,150","40,150","40,550","35,650","39,050","41,300","42,450","41,650","37,400",Kalimantan
Daging Sapi,II,Kalimantan Tengah,1,"154,100","154,100","154,350","155,550","154,850","155,350","155,350","155,350","155,350","155,350","155,350","155,350","155,350","155,350","155,600","155,650","155,350","155,900","155,350","155,350","155,350","155,350","155,350","156,100","155,600","155,350","158,500","155,350",Kalimantan
Telur Ayam,II,Kalimantan Tengah,1,"30,650","31,500","33,500","31,600","32,350","31,750","30,800","30,600","30,100","30,950","30,900","32,050","31,850","31,250","32,050","30,700","30,700","31,250","31,850","32,400","32,200","34,150","33,500","34,100","33,300","33,600","35,200","33,950",Kalimantan
Bawang Merah,II,Kalimantan Tengah,1,"42,300","36,500","35,050","43,050","47,250","43,900","33,900","26,350","29,150","30,400","41,800","44,800","41,000","34,750","42,650","41,950","37,950","51,900","51,600","59,200","43,050","41,200","42,050","53,900","46,050","40,950","43,700","48,250",Kalimantan
Bawang Putih,II,Kalimantan Tengah,1,"39,150","38,150","41,200","43,400","43,950","42,250","40,100","40,050","40,100","40,050","42,650","43,750","42,750","43,750","45,250","44,400","41,550","39,400","38,150","37,400","37,300","37,250","37,550","37,950","37,300","38,050","38,250","38,300",Kalimantan
Cabai Merah,II,Kalimantan Tengah,1,"82,150","94,250","96,800","79,700","71,950","78,550","76,750","65,950","61,500","58,550","55,500","66,050","95,450","87,600","99,200","104,200","83,400","80,850","78,900","74,300","74,350","59,000","73,950","99,350","70,800","70,900","80,700","78,050",Kalimantan
Cabai Rawit,II,Kalimantan Tengah,1,"48,850","56,750","71,350","57,800","47,700","51,950","62,250","69,050","54,700","46,600","46,150","49,700","75,750","75,250","99,550","95,950","61,550","65,350","79,300","55,150","54,200","41,750","42,050","72,050","61,300","77,300","83,950","83,700",Kalimantan
Minyak Goreng,II,Kalimantan Tengah,1,"19,750","19,800","19,750","19,850","20,000","19,900","20,000","19,950","20,150","20,450","20,300","20,350","20,500","20,800","20,950","20,900","20,950","21,000","21,150","21,200","21,100","21,050","21,100","21,050","21,200","21,300","21,750","21,750",Kalimantan
Gula Pasir,II,Kalimantan Tengah,1,"19,100","19,100","19,450","20,000","20,450","20,000","19,800","19,700","19,750","20,000","20,050","20,000","20,150","20,400","20,650","21,250","21,400","21,150","21,000","20,950","20,850","20,550","20,250","20,100","20,100","20,400","21,100","21,300",Kalimantan
Beras,II,Maluku,1,"15,200","15,450","15,750","15,950","16,050","16,200","16,150","16,200","16,200","16,200","16,150","16,100","16,100","16,150","16,200","16,200","16,350","16,800","17,000","16,850","16,850","16,900","16,800","16,700","16,650","16,700","16,750","16,750",Maluku
Daging Ayam,II,Maluku,1,"39,850","37,650","41,250","44,100","42,400","43,050","44,650","44,000","42,050","42,250","42,250","40,900","41,200","40,900","40,400","41,200","41,350","40,450","40,450","40,350","40,350","39,200","40,700","43,100","46,350","47,450","49,000","49,650",Maluku
Daging Sapi,II,Maluku,1,"133,400","133,550","133,000","135,550","137,500","137,500","137,650","138,400","138,150","138,350","138,000","138,300","140,000","138,150","138,800","137,800","136,450","136,850","136,350","137,100","137,500","136,950","138,850","141,600","151,600","151,150","147,900","149,800",Maluku
Telur Ayam,II,Maluku,1,"35,600","35,700","37,750","38,250","37,700","37,400","37,350","36,250","36,050","35,250","35,000","36,250","37,350","35,950","36,650","36,350","35,650","35,750","35,800","36,250","35,500","36,250","36,500","37,450","37,750","37,000","41,450","38,150",Maluku
Bawang Merah,II,Maluku,1,"48,500","43,900","40,200","50,150","55,900","49,450","43,500","38,400","36,450","36,250","42,500","50,700","47,000","43,400","48,600","52,500","45,750","50,800","57,300","61,100","57,000","44,450","43,400","55,800","55,850","47,900","49,600","56,050",Maluku
Bawang Putih,II,Maluku,1,"45,450","45,100","46,500","50,500","51,550","50,000","47,600","47,700","45,150","43,800","44,850","47,450","49,000","46,700","48,250","50,300","48,000","46,200","45,500","43,400","42,500","42,300","42,200","42,450","42,100","42,500","43,250","43,600",Maluku
Cabai Merah,II,Maluku,1,"78,050","60,300","71,700","73,900","67,350","90,650","83,800","85,750","78,250","63,250","54,200","70,200","90,300","83,100","96,650","103,600","95,400","94,300","84,650","70,400","64,850","63,400","61,800","72,050","73,250","69,600","84,750","83,450",Maluku
Cabai Rawit,II,Maluku,1,"111,550","55,700","57,750","72,700","91,300","78,900","73,900","91,800","76,200","64,250","55,000","74,350","112,850","80,950","106,250","119,850","105,900","98,000","109,050","97,500","68,450","62,100","74,800","94,700","98,450","88,550","122,650","131,800",Maluku
Minyak Goreng,II,Maluku,1,"21,000","20,950","20,950","20,900","20,950","21,000","21,150","21,250","21,250","21,400","21,500","21,750","22,200","22,750","22,950","22,950","22,950","23,050","23,200","23,300","23,250","23,250","23,250","23,250","23,250","23,350","23,600","23,700",Maluku
Gula Pasir,II,Maluku,1,"18,750","19,000","19,700","20,100","20,350","20,700","20,600","20,350","20,100","20,250","20,350","20,350","20,600","21,200","21,350","21,350","21,400","21,550","21,400","21,250","21,250","21,050","20,800","20,700","20,700","21,000","21,100","21,500",Maluku
Beras,II,Kalimantan Timur,1,"15,200","15,400","16,300","16,450","16,250","16,250","16,250","16,150","16,000","16,050","16,000","16,000","15,950","15,950","15,950","15,950","15,900","16,200","16,400","16,450","16,600","16,500","16,300","16,250","16,150","16,050","16,100","16,200",Kalimantan
Daging Ayam,II,Kalimantan Timur,1,"36,100","36,150","36,800","35,700","38,650","39,450","37,250","36,450","36,550","40,350","38,350","39,400","40,250","40,250","39,500","38,600","36,450","36,200","35,750","35,500","37,300","36,300","35,400","37,550","38,050","39,450","39,100","38,750",Kalimantan
Daging Sapi,II,Kalimantan Timur,1,"152,650","153,450","152,400","153,800","152,900","153,900","154,150","153,800","153,200","155,050","155,250","155,050","155,350","155,300","160,650","164,400","161,750","161,050","161,200","161,250","160,850","159,600","159,600","159,700","159,600","160,050","165,950","165,850",Kalimantan
Telur Ayam,II,Kalimantan Timur,1,"29,050","29,000","31,750","31,400","30,500","30,250","29,900","29,400","28,300","30,000","30,300","30,550","31,050","30,900","30,700","29,550","30,650","30,300","30,350","30,500","30,750","31,550","31,550","31,900","32,000","32,050","32,700","32,350",Kalimantan
Bawang Merah,II,Kalimantan Timur,1,"45,900","40,200","36,000","47,050","49,500","43,950","36,500","29,400","29,200","31,950","41,050","46,550","42,550","39,800","45,900","44,700","40,400","47,250","49,950","56,700","46,200","41,450","41,650","54,900","48,000","44,300","46,250","51,050",Kalimantan
Bawang Putih,II,Kalimantan Timur,1,"41,600","41,200","42,750","46,700","46,350","44,800","42,800","41,900","40,900","40,000","43,050","45,600","45,400","45,600","46,850","46,450","43,300","42,300","41,800","41,550","40,650","39,800","39,650","40,150","40,200","40,800","40,550","42,150",Kalimantan
Cabai Merah,II,Kalimantan Timur,1,"61,900","63,750","67,850","55,900","55,650","63,000","51,250","46,300","43,250","34,350","33,350","44,350","55,450","55,900","68,550","66,500","66,100","59,000","55,550","50,600","51,400","45,750","52,650","56,900","40,350","39,400","46,700","49,400",Kalimantan
Cabai Rawit,II,Kalimantan Timur,1,"53,850","49,700","64,400","61,850","59,250","60,450","65,900","66,950","52,250","48,950","43,950","49,850","70,750","76,000","98,300","81,000","53,100","52,850","65,450","54,350","46,100","40,600","41,900","58,500","53,150","72,950","89,700","77,800",Kalimantan
Minyak Goreng,II,Kalimantan Timur,1,"18,900","19,300","19,400","19,350","19,550","19,500","19,750","19,600","19,500","20,000","20,400","20,850","20,950","21,200","21,300","21,500","21,350","21,050","21,050","21,100","21,100","21,100","21,150","21,100","21,100","21,100","21,250","21,800",Kalimantan
Gula Pasir,II,Kalimantan Timur,1,"18,000","18,100","18,200","18,300","18,750","18,550","18,400","18,450","18,500","18,350","18,500","18,650","18,600","18,850","19,250","19,350","19,350","19,350","19,200","19,100","19,000","18,900","18,900","19,000","18,950","19,100","19,300","19,550",Kalimantan
Beras,II,Sulawesi Selatan,1,"13,050","13,500","14,150","13,850","13,800","13,800","13,850","13,700","13,700","13,700","13,550","13,400","13,400","13,500","13,550","13,550","13,550","13,650","14,150","14,450","14,350","14,250","14,150","14,100","14,200","14,250","14,300","14,300",Sulawesi
Daging Ayam,II,Sulawesi Selatan,1,"29,000","25,250","28,500","29,800","26,000","24,700","23,050","23,000","22,600","25,000","27,500","29,350","31,450","24,800","25,850","25,900","25,400","25,500","24,000","24,200","27,250","28,750","29,500","33,550","31,600","30,550","32,900","32,650",Sulawesi
Daging Sapi,II,Sulawesi Selatan,1,"123,000","123,000","125,550","122,750","123,050","123,000","123,000","123,650","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,750","126,000","126,150","126,000","126,000","126,500","127,300","127,500","127,500","127,450","127,500","129,000","132,950",Sulawesi
Telur Ayam,II,Sulawesi Selatan,1,"23,850","24,950","29,000","28,050","26,950","26,000","25,250","24,000","24,700","25,700","24,500","25,250","25,700","25,350","26,200","26,000","26,050","25,750","25,800","25,950","27,100","27,350","26,900","27,800","28,200","28,550","31,300","31,100",Sulawesi
Bawang Merah,II,Sulawesi Selatan,1,"39,200","35,600","32,500","42,900","44,900","39,450","31,950","24,650","26,350","29,000","38,450","42,000","35,500","32,050","36,950","39,750","34,750","40,350","45,250","50,150","41,000","39,050","38,500","49,150","42,000","38,150","39,000","43,650",Sulawesi
Bawang Putih,II,Sulawesi Selatan,1,"38,550","38,950","40,600","41,400","41,300","41,100","39,850","39,250","39,650","39,850","40,150","41,450","40,550","41,250","43,400","44,650","43,250","40,800","39,650","38,050","37,150","36,850","36,200","37,400","38,450","39,050","38,250","38,350",Sulawesi
Cabai Merah,II,Sulawesi Selatan,1,"39,200","45,200","43,700","29,750","28,600","34,750","27,250","29,150","24,050","19,950","18,650","21,450","30,550","31,900","41,300","42,000","44,400","33,850","32,350","31,350","32,700","33,350","37,300","33,800","20,150","21,300","27,350","26,800",Sulawesi
Cabai Rawit,II,Sulawesi Selatan,1,"42,650","29,550","37,900","39,650","35,550","37,900","38,900","41,550","27,050","29,150","28,300","30,700","49,850","49,500","66,800","60,350","41,800","35,050","46,850","34,200","26,400","25,600","22,550","42,000","27,550","46,100","56,450","55,900",Sulawesi
Minyak Goreng,II,Sulawesi Selatan,1,"17,650","17,600","17,750","17,850","17,950","18,050","18,050","18,100","18,200","18,500","18,800","18,900","19,100","19,200","19,400","19,450","19,600","19,700","19,700","19,650","19,600","19,750","19,850","19,850","19,950","20,150","20,100","20,300",Sulawesi
Gula Pasir,II,Sulawesi Selatan,1,"17,000","17,000","17,100","17,350","17,450","17,500","17,500","17,450","17,450","17,550","17,400","17,350","17,550","17,700","17,750","17,700","17,700","17,650","17,600","17,550","17,450","17,300","17,300","17,350","17,350","17,300","17,300","17,450",Sulawesi
